"State","n","mean.ws","med.ws"
"AK",665760,3.83461983297284,3.1
"AL",122640,2.86551288323549,2.6
"AR",157680,3.13622716894977,3
"AZ",157680,3.18038812785388,2.9
"CA",639480,3.09684337274035,2.6
"CO",219000,3.513400456621,3.1
"CT",61320,3.61273157208089,3.5
"DE",17520,3.89583333333333,3.6
"FL",367920,3.4263282778865,3.1
"GA",166440,2.84029019466474,2.6
"GU",17520,4.74489155251142,4.6
"HI",87600,4.83582648401826,4.6
"IA",341640,4.14511064278188,3.6
"ID",113880,3.42650509308044,3.1
"IL",166440,4.01744592645999,3.6
"IN",87600,3.94201826484018,3.6
"KS",201480,4.87147061743101,4.6
"KY",105120,3.04426179604262,3
"LA",148920,3.08314665592264,3
"MA",131400,4.05302739726027,4
"MD",43800,3.56845433789954,3.1
"ME",131400,3.25248249619482,3.1
"MI",271560,3.85526697599057,3.6
"MN",473040,3.75604832572298,3.6
"MO",148920,3.79370668815471,3.6
"MS",113880,2.73855725324903,2.6
"MT",140160,4.1416823630137,3.6
"NC",192720,3.26264113740141,3.1
"ND",87600,4.93781849315068,4.6
"NE",227760,4.59834430979979,4.1
"NH",70080,4.22495148401826,3
"NJ",78840,3.59716641298833,3.4
"NM",148920,4.13930902497986,3.6
"NV",87600,3.55793493150685,3.1
"NY",210240,3.92962328767123,3.6
"OH",113880,4.03296452406041,3.6
"OK",131400,4.64451369863014,4.1
"OR",166440,3.13889089161259,2.6
"PA",183960,3.5004332463579,3.1
"PR",52560,3.62899353120244,3.1
"RI",26280,4.13469178082192,4
"SC",87600,3.21756164383562,3.1
"SD",96360,4.88974055624741,4.6
"TN",70080,2.94113869863014,2.6
"TX",534360,4.18071562242683,4.1
"UT",113880,3.24084035827187,2.9
"VA",271560,3.05655435262925,2.6
"VI",8760,4.94074200913242,5.1
"VT",35040,3.04085331050228,2.6
"WA",254040,3.11310738466383,2.6
"WI",175200,3.7321352739726,3.6
"WV",96360,2.77048152760482,2.6
"WY",113880,4.26204513523007,3.6
